pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-30,1-0,0-0,,268850,,,9,,4,Deuce,Ruining Huang,Near,,,,,,,,,,-26.07209099,508.1090933943131,Crosscourt,Forehand,,,,,,,,,,128.9672298774487,-362.5495899,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Deep
15-30,1-0,0-0,,270350,,,9,,5,Deuce,Ruining Huang,Near,,,,,,,,,,138.6026793525093,-524.4453357,Crosscourt,Backhand,,,,,,,,,,-68.44609033,250.98938648280995,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
15-30,1-0,0-0,,271579,,,9,,6,Deuce,Ruining Huang,Near,,,,,,,,,,-126.4169838,465.64613954481626,Crosscourt,Backhand,1.0,,,,,,,,,136.61203521427765,-362.5652832,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Deep
15-30,1-0,0-0,,273470,,,9,,7,Deuce,Ruining Huang,Near,,,,,,,,,,145.10669291331087,-461.0499399,Crosscourt,Backhand,,,,,,,,,,-65.87712708,340.5615977688529,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
15-30,1-0,0-0,,274750,,,9,,8,Deuce,Ruining Huang,Near,,,,,,,,,,-119.2401465,508.70716316684127,Crosscourt,Backhand,,,,,,,,,,72.70606955376822,-326.5545932,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-30,1-0,0-0,,276170,,,9,,9,Deuce,Ruining Huang,Near,,,,,,,,,,85.22492344702509,-502.9148239,Crosscourt,Backhand,,,,,,,,,,-71.64485455,284.8011318896166,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Short
15-30,1-0,0-0,,277480,,,9,,10,Deuce,Ruining Huang,Near,,,,,,,,,,-118.7168307,511.09944225695375,Crosscourt,Backhand,,,,,,,,,,45.78117891511196,-306.564135,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-30,1-0,0-0,,279119,,,9,,11,Deuce,Ruining Huang,Near,,,,,,,,,,65.63816710407808,-483.1785214,Crosscourt,Backhand,,,,,,,,,,-140.1542159,454.3868492998528,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
15-30,1-0,0-0,,280119,,,9,,12,Deuce,Ruining Huang,Near,,,,,,,,,,-157.1428423,558.9450240592038,Crosscourt,Backhand,,,,,,,,,,71.03687117231675,-281.4971839,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-30,1-0,0-0,,281769,,,9,,13,Deuce,Ruining Huang,Near,,,,,,,,,,89.33665791771413,-454.1721566,Down the Line,Backhand,,,,,,,,,,58.24169947503553,397.6568788274411,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
